year,month,rainfall
1950,1,2.57
1950,2,1.67
1950,3,0.87
1950,4,0.56
1950,5,0
1950,6,0
1950,7,0.01
1950,8,0
1950,9,0.38
1950,10,0.24
1950,11,1.05
1950,12,0.03
1951,1,2.8
1951,2,1.48
1951,3,0.44
1951,4,1.54
1951,5,0.24
1951,6,0
1951,7,0
1951,8,0.15
1951,9,0
1951,10,0.59
1951,11,1.29
1951,12,5.8
1952,1,10.03
1952,2,0.63
1952,3,6.14
1952,4,1.58
1952,5,0
1952,6,0
1952,7,0
1952,8,0
1952,9,0.13
1952,10,0
1952,11,3.13
1952,12,3.31
1953,1,1.08
1953,2,0.33
1953,3,0.48
1953,4,0.91
1953,5,0.03
1953,6,0.06
1953,7,0
1953,8,0
1953,9,0
1953,10,0
1953,11,1.11
1953,12,0.08
1954,1,4.6
1954,2,2.98
1954,3,2.99
1954,4,0.13
1954,5,0.02
1954,6,0.08
1954,7,0
1954,8,0
1954,9,0
1954,10,0
1954,11,2.03
1954,12,0.86
1955,1,4.3
1955,2,0.68
1955,3,0.56
1955,4,2.07
1955,5,1.43
1955,6,0.01
1955,7,0
1955,8,0.05
1955,9,0
1955,10,0
1955,11,1.68
1955,12,1.11
1956,1,8.39
1956,2,0.59
1956,3,0
1956,4,3.72
1956,5,0.46
1956,6,0
1956,7,0
1956,8,0
1956,9,0
1956,10,0.12
1956,11,0
1956,12,0.34
1957,1,4.41
1957,2,1.47
1957,3,1.02
1957,4,1.47
1957,5,0.63
1957,6,0.08
1957,7,0
1957,8,0
1957,9,0
1957,10,1.51
1957,11,0.51
1957,12,2.14
1958,1,2.08
1958,2,6.46
1958,3,5.3
1958,4,3.09
1958,5,0.04
1958,6,0
1958,7,0
1958,8,0.39
1958,9,0.07
1958,10,0.06
1958,11,0
1958,12,0
1959,1,1.24
1959,2,3.32
1959,3,0
1959,4,0.5
1959,5,0
1959,6,0
1959,7,0
1959,8,0
1959,9,0.01
1959,10,0
1959,11,0.07
1959,12,1.09
1960,1,2.94
1960,2,2.26
1960,3,0.31
1960,4,1.45
1960,5,0.05
1960,6,0
1960,7,0
1960,8,0
1960,9,0
1960,10,0.01
1960,11,2.4
1960,12,0.15
1961,1,1.28
1961,2,0.15
1961,3,0.57
1961,4,0.29
1961,5,0
1961,6,0
1961,7,0
1961,8,0.03
1961,9,0.05
1961,10,0
1961,11,2.02
1961,12,1.44
1962,1,2.56
1962,2,11.57
1962,3,1.1
1962,4,0
1962,5,0.02
1962,6,0
1962,7,0
1962,8,0
1962,9,0
1962,10,0.12
1962,11,0
1962,12,0
1963,1,0.52
1963,2,2.88
1963,3,2.78
1963,4,1.94
1963,5,0
1963,6,0.14
1963,7,0
1963,8,0.02
1963,9,1.31
1963,10,0.57
1963,11,2.15
1963,12,0
1964,1,1.43
1964,2,0
1964,3,1.79
1964,4,0.33
1964,5,0.01
1964,6,0.32
1964,7,0
1964,8,0
1964,9,0
1964,10,0.33
1964,11,1.72
1964,12,2.05
1965,1,0.84
1965,2,0.23
1965,3,2.49
1965,4,6.02
1965,5,0
1965,6,0.01
1965,7,0
1965,8,0.01
1965,9,1.8
1965,10,0
1965,11,9.68
1965,12,5.73
1966,1,0.96
1966,2,1.51
1966,3,0.53
1966,4,0
1966,5,0.22
1966,6,0
1966,7,0
1966,8,0
1966,9,0.3
1966,10,0.06
1966,11,4.07
1966,12,5.26
1967,1,5.93
1967,2,0.11
1967,3,2.5
1967,4,3.76
1967,5,0.01
1967,6,0
1967,7,0
1967,8,0
1967,9,1.02
1967,10,0
1967,11,8.67
1967,12,1.66
1968,1,0.9
1968,2,0.49
1968,3,3.34
1968,4,0.49
1968,5,0
1968,6,0.01
1968,7,0.01
1968,8,0.11
1968,9,0.03
1968,10,0.55
1968,11,0.37
1968,12,1.28
1969,1,14.94
1969,2,8.03
1969,3,1.49
1969,4,0.63
1969,5,0.03
1969,6,0
1969,7,0.03
1969,8,0
1969,9,0
1969,10,0
1969,11,1.11
1969,12,0.06
1970,1,1.59
1970,2,2.58
1970,3,2.36
1970,4,0
1970,5,0
1970,6,0.04
1970,7,0
1970,8,0
1970,9,0
1970,10,0
1970,11,5.05
1970,12,4.92
1971,1,0.43
1971,2,0.67
1971,3,0.53
1971,4,0.5
1971,5,0.22
1971,6,0
1971,7,0
1971,8,0
1971,9,0
1971,10,0.04
1971,11,0.3
1971,12,6.57
1972,1,0
1972,2,0.13
1972,3,0
1972,4,0.03
1972,5,0.03
1972,6,0.07
1972,7,0
1972,8,0.35
1972,9,0.02
1972,10,0.29
1972,11,3.26
1972,12,2.36
1973,1,4.39
1973,2,7.89
1973,3,2.7
1973,4,0
1973,5,0
1973,6,0
1973,7,0
1973,8,0
1973,9,0
1973,10,0.12
1973,11,1.68
1973,12,0.67
1974,1,8.35
1974,2,0.14
1974,3,3.78
1974,4,0.1
1974,5,0.08
1974,6,0
1974,7,0
1974,8,0
1974,9,0
1974,10,0.58
1974,11,0.07
1974,12,3.59
1975,1,0.12
1975,2,3.54
1975,3,4.83
1975,4,1.53
1975,5,0.09
1975,6,0
1975,7,0
1975,8,0
1975,9,0
1975,10,0.27
1975,11,0
1975,12,0.32
1976,1,0
1976,2,3.71
1976,3,1.81
1976,4,0.84
1976,5,0.05
1976,6,0.22
1976,7,0
1976,8,0.08
1976,9,2.82
1976,10,0.24
1976,11,0.49
1976,12,0.75
1977,1,2.84
1977,2,0.17
1977,3,1.89
1977,4,0
1977,5,3.03
1977,6,0
1977,7,0
1977,8,2.26
1977,9,0
1977,10,0
1977,11,0.08
1977,12,4.7
1978,1,7.7
1978,2,8.91
1978,3,8.02
1978,4,1.77
1978,5,0
1978,6,0
1978,7,0
1978,8,0
1978,9,0.39
1978,10,0.05
1978,11,2.28
1978,12,1.45
1979,1,6.59
1979,2,3.06
1979,3,5.85
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.01
1979,9,0
1979,10,0.77
1979,11,0.21
1979,12,0.51
1980,1,7.5
1980,2,12.75
1980,3,4.79
1980,4,0.31
1980,5,0.13
1980,6,0
1980,7,0
1980,8,0
1980,9,0
1980,10,0
1980,11,0
1980,12,0.85
1981,1,2.02
1981,2,1.48
1981,3,4.1
1981,4,0.53
1981,5,0
1981,6,0
1981,7,0
1981,8,0
1981,9,0.02
1981,10,0.49
1981,11,1.8
1981,12,0.48
1982,1,2.17
1982,2,0.7
1982,3,3.54
1982,4,1.39
1982,5,0.12
1982,6,0
1982,7,0
1982,8,0
1982,9,0.84
1982,10,0.19
1982,11,4.41
1982,12,1.05
1983,1,6.49
1983,2,4.37
1983,3,8.37
1983,4,5.16
1983,5,0.36
1983,6,0.01
1983,7,0
1983,8,0.79
1983,9,1.99
1983,10,0.75
1983,11,2.52
1983,12,3.23
1984,1,0.17
1984,2,0
1984,3,0.28
1984,4,0.69
1984,5,0
1984,6,0.01
1984,7,0
1984,8,0.4
1984,9,0.23
1984,10,0.15
1984,11,1.44
1984,12,5.53
1985,1,0.71
1985,2,2.84
1985,3,1.29
1985,4,0
1985,5,0.23
1985,6,0
1985,7,0
1985,8,0
1985,9,0.19
1985,10,0.42
1985,11,2.91
1985,12,0.33
1986,1,2.19
1986,2,6.1
1986,3,5.27
1986,4,0.45
1986,5,0
1986,6,0
1986,7,0.18
1986,8,0
1986,9,1.97
1986,10,0.53
1986,11,0.94
1986,12,0.37
1987,1,1.39
1987,2,1.22
1987,3,0.95
1987,4,0.06
1987,5,0
1987,6,0.05
1987,7,0.01
1987,8,0
1987,9,0.09
1987,10,2.37
1987,11,1.13
1987,12,1.84
1988,1,1.65
1988,2,1.72
1988,3,0.26
1988,4,3.41
1988,5,0
1988,6,0
1988,7,0
1988,8,0.05
1988,9,0.04
1988,10,0
1988,11,0.7
1988,12,3.8
1989,1,0.73
1989,2,1.9
1989,3,0.81
1989,4,0
1989,5,0.05
1989,6,0
1989,7,0
1989,8,0
1989,9,0.35
1989,10,0.43
1989,11,0.29
1989,12,0
1990,1,1.24
1990,2,3.12
1990,3,0.17
1990,4,0.58
1990,5,1.17
1990,6,0
1990,7,0
1990,8,0.02
1990,9,0
1990,10,0
1990,11,0.19
1990,12,0
1991,1,1.17
1991,2,4.13
1991,3,5.92
1991,4,0.03
1991,5,0
1991,6,0.01
1991,7,0.13
1991,8,0
1991,9,0.09
1991,10,0.37
1991,11,0
1991,12,3.22
1992,1,1.74
1992,2,7.96
1992,3,7.12
1992,4,0.33
1992,5,0.04
1992,6,0
1992,7,0.08
1992,8,0
1992,9,0
1992,10,0.7
1992,11,0
1992,12,4.68
1993,1,11.77
1993,2,6.61
1993,3,2.74
1993,4,0
1993,5,0.02
1993,6,0.76
1993,7,0
1993,8,0
1993,9,0
1993,10,0.16
1993,11,0.66
1993,12,0.78
1994,1,0.33
1994,2,3.21
1994,3,1.86
1994,4,0.83
1994,5,0.28
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0.19
1994,11,0.61
1994,12,1.35
1995,1,12.56
1995,2,1.3
1995,3,6.98
1995,4,0.58
1995,5,0.18
1995,6,0.6
1995,7,0.02
1995,8,0
1995,9,0
1995,10,0
1995,11,0.09
1995,12,1.34
1996,1,3.16
1996,2,4.94
1996,3,2.16
1996,4,0.71
1996,5,0.04
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,1.06
1996,11,1.59
1996,12,4.09
1997,1,5.58
1997,2,0.08
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0.45
1997,10,0
1997,11,2.06
1997,12,2.52
1998,1,4.12
1998,2,13.68
1998,3,4.06
1998,4,0.97
1998,5,3.1
1998,6,0.05
1998,7,0
1998,8,0
1998,9,0.01
1998,10,0
1998,11,1.32
1998,12,0.54
1999,1,1.85
1999,2,0.56
1999,3,1.24
1999,4,2.57
1999,5,0.02
1999,6,0.98
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0.44
1999,12,0.4
2000,1,0.88
2000,2,5.54
2000,3,2.82
2000,4,1.49
2000,5,0
2000,6,0
2000,7,0
2000,8,0.07
2000,9,0.15
2000,10,0.98
2000,11,0
2000,12,0
2001,1,5.59
2001,2,8.87
2001,3,1.17
2001,4,1.11
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0.06
2001,11,1.42
2001,12,1.38
2002,1,0.8
2002,2,0.29
2002,3,0.32
2002,4,0.09
2002,5,0.05
2002,6,0.01
2002,7,0
2002,8,0
2002,9,0
2002,10,0.05
2002,11,2.43
2002,12,3.31
2003,1,0
2003,2,4.64
2003,3,4.32
2003,4,0.71
2003,5,1.02
2003,6,0.01
2003,7,0
2003,8,0
2003,9,0
2003,10,0.53
2003,11,0.79
2003,12,1.35
2004,1,0.47
2004,2,4.89
2004,3,1.17
2004,4,0.04
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,4.56
2004,11,0.2
2004,12,8.77
2005,1,9.32
2005,2,11.02
2005,3,2.14
2005,4,1.05
2005,5,0.19
2005,6,0
2005,7,0
2005,8,0
2005,9,0.29
2005,10,1.35
2005,11,0.22
2005,12,1.03
2006,1,2.06
2006,2,2.37
2006,3,2.87
2006,4,2.15
2006,5,0.85
2006,6,0
2006,7,0
2006,8,0
2006,9,0
2006,10,0.34
2006,11,0.16
2006,12,0.81
2007,1,0.19
2007,2,0.92
2007,3,0.05
2007,4,0.74
2007,5,0
2007,6,0
2007,7,0
2007,8,0
2007,9,0.52
2007,10,0.95
2007,11,0.56
2007,12,1.73
2008,1,7.97
2008,2,1.64
2008,3,0.01
2008,4,0.04
2008,5,0.11
2008,6,0
2008,7,0
2008,8,0
2008,9,0
2008,10,0.02
2008,11,1.85
2008,12,2.79
2009,1,0.34
2009,2,3.57
2009,3,0.33
2009,4,0.03
2009,5,0
2009,6,0.15
2009,7,0
2009,8,0
2009,9,0
2009,10,2.07
2009,11,0.01
2009,12,2.89
2010,1,4.94
2010,2,4.27
2010,3,0.48
2010,4,1.65
2010,5,0.05
2010,6,0
2010,7,0
2010,8,0
2010,9,0
2010,10,0.94
2010,11,0.53
2010,12,10.23
2011,1,0.79
2011,2,3.29
2011,3,3.96
2011,4,0
2011,5,0.45
2011,6,0.01
2011,7,0
2011,8,0
2011,9,0
2011,10,1.17
2011,11,1.58
2011,12,1.01
2012,1,1.3
2012,2,0.16
2012,3,1.75
2012,4,1.71
2012,5,0.01
2012,6,0
2012,7,0.01
2012,8,0
2012,9,0
2012,10,0.02
2012,11,1.03
2012,12,2.16
2013,1,1.18
2013,2,0.2
2013,3,0.54
2013,4,0
2013,5,0.71
2013,6,0
2013,7,0.09
2013,8,0
2013,9,0
2013,10,0.06
2013,11,0.62
2013,12,0.2
2014,1,0
2014,2,3.58
2014,3,1.18
2014,4,0.35
2014,5,0
2014,6,0
2014,7,0
2014,8,0.04
2014,9,0.01
2014,10,0.25
2014,11,0.48
2014,12,3.88
2015,1,1.09
2015,2,0.83
2015,3,0.87
2015,4,0.13
2015,5,0.93
2015,6,0.01
2015,7,0.38
2015,8,0
2015,9,2.39
2015,10,0.45
2015,11,0.01
2015,12,0.57
2016,1,3.17
2016,2,0.79
2016,3,1.6
2016,4,0.24
2016,5,0.05
2016,6,0
2016,7,0
2016,8,0
2016,9,0
2016,10,0.52
2016,11,0.88
2016,12,4.55
2017,1,8.38
2017,2,4.17
2017,3,0.09
2017,4,0.08
2017,5,0.32
2017,6,0.01
2017,7,0
2017,8,0
2017,9,0.07
2017,10,0.1
2017,11,0.01
2017,12,0.01
2018,1,1.77
2018,2,0.03
2018,3,2.69
2018,4,0.02
2018,5,0.09
2018,6,0
2018,7,0
2018,8,0
2018,9,0
2018,10,0.57
